Age,Gender,Occupation,Country,Stress_Level,Sleep_Hours,Work_Hours,Physical_Activity_Hours,Social_Media_Usage,Diet_Quality,Smoking_Habit,Alcohol_Consumption,split
27,Non-binary,Engineering,Germany,Low,7.1,33,8,5.4,Unhealthy,Non-Smoker,Non-Drinker,train
53,Prefer not to say,Finance,UK,Medium,8.2,53,1,2.2,Average,Heavy Smoker,Social Drinker,train
26,Male,Finance,USA,Low,9.7,36,3,3.5,Average,Occasional Smoker,Non-Drinker,train
47,Non-binary,IT,Australia,Low,5.1,37,9,1.6,Healthy,Occasional Smoker,Non-Drinker,train
63,Male,Healthcare,India,Low,9.3,74,10,2.7,Healthy,Non-Smoker,Heavy Drinker,train
28,Female,Engineering,Canada,High,8.4,69,1,3.3,Unhealthy,Heavy Smoker,Regular Drinker,train
60,Female,IT,Germany,Low,7.0,30,5,2.9,Healthy,Occasional Smoker,Non-Drinker,train
28,Male,Engineering,Australia,High,7.8,70,2,4.6,Unhealthy,Regular Smoker,Regular Drinker,train
53,Female,Healthcare,Other,Low,6.2,57,7,0.5,Average,Occasional Smoker,Social Drinker,train
34,Male,Education,USA,High,5.5,36,2,5.9,Unhealthy,Regular Smoker,Heavy Drinker,train
50,Female,Other,Canada,Low,9.4,62,10,3.2,Healthy,Occasional Smoker,Social Drinker,train
34,Female,IT,UK,Low,7.1,35,5,3.6,Unhealthy,Non-Smoker,Non-Drinker,train
29,Non-binary,IT,Other,High,8.3,71,4,1.8,Unhealthy,Heavy Smoker,Heavy Drinker,train
58,Female,Other,Australia,Medium,5.0,33,5,4.9,Average,Non-Smoker,Social Drinker,train
29,Prefer not to say,Engineering,UK,Low,9.7,38,10,3.1,Average,Heavy Smoker,Social Drinker,train
54,Female,IT,Other,Medium,4.2,43,3,3.0,Unhealthy,Non-Smoker,Non-Drinker,train
44,Male,Finance,Australia,High,4.8,48,6,5.5,Average,Non-Smoker,Heavy Drinker,train
32,Prefer not to say,Healthcare,USA,High,4.8,60,9,4.0,Average,Heavy Smoker,Heavy Drinker,train
42,Female,Sales,Other,High,8.9,75,2,5.0,Healthy,Occasional Smoker,Heavy Drinker,train
18,Female,Sales,USA,Medium,9.9,66,7,1.9,Unhealthy,Heavy Smoker,Social Drinker,train
52,Non-binary,IT,Australia,High,4.5,74,7,3.7,Healthy,Heavy Smoker,Heavy Drinker,train
40,Prefer not to say,Other,Germany,High,4.8,67,4,5.0,Unhealthy,Non-Smoker,Non-Drinker,train
55,Female,Other,USA,High,4.2,70,6,4.9,Unhealthy,Heavy Smoker,Social Drinker,train
29,Non-binary,Healthcare,USA,High,6.4,80,4,1.0,Unhealthy,Occasional Smoker,Regular Drinker,train
27,Prefer not to say,Sales,Canada,Low,6.3,50,5,4.4,Healthy,Non-Smoker,Non-Drinker,train
33,Female,Engineering,USA,High,7.6,55,1,5.3,Average,Non-Smoker,Regular Drinker,train
45,Female,Healthcare,Germany,High,4.4,33,2,4.8,Average,Regular Smoker,Social Drinker,train
64,Prefer not to say,Healthcare,UK,Low,6.6,35,10,3.3,Average,Non-Smoker,Social Drinker,train
31,Female,Finance,Australia,High,7.2,78,7,2.8,Unhealthy,Occasional Smoker,Regular Drinker,train
49,Non-binary,Finance,Australia,Low,4.6,52,7,2.1,Average,Occasional Smoker,Non-Drinker,train
52,Non-binary,Healthcare,Other,Medium,4.5,32,3,2.2,Healthy,Heavy Smoker,Social Drinker,train
56,Non-binary,IT,Other,Medium,9.8,38,0,4.5,Average,Regular Smoker,Non-Drinker,train
57,Prefer not to say,Education,Other,High,8.3,67,8,3.6,Unhealthy,Heavy Smoker,Regular Drinker,train
31,Female,Other,Australia,High,9.0,69,3,4.6,Unhealthy,Regular Smoker,Social Drinker,train
64,Prefer not to say,Education,Other,High,8.1,68,0,3.1,Unhealthy,Occasional Smoker,Heavy Drinker,train
48,Prefer not to say,IT,India,Medium,7.8,31,0,5.4,Healthy,Non-Smoker,Regular Drinker,train
20,Female,Sales,Other,High,8.7,66,0,5.2,Healthy,Heavy Smoker,Heavy Drinker,train
49,Non-binary,IT,Canada,Medium,9.3,53,2,4.1,Healthy,Occasional Smoker,Heavy Drinker,train
52,Female,IT,India,Medium,5.2,40,2,1.5,Healthy,Occasional Smoker,Heavy Drinker,train
28,Non-binary,Healthcare,Germany,Medium,7.4,66,4,3.8,Healthy,Occasional Smoker,Social Drinker,train
45,Prefer not to say,Other,Australia,High,6.7,69,5,5.3,Average,Heavy Smoker,Non-Drinker,train
59,Prefer not to say,Sales,Other,Low,8.6,75,6,0.6,Average,Occasional Smoker,Non-Drinker,train
38,Female,Sales,Australia,High,7.3,47,2,4.5,Unhealthy,Regular Smoker,Non-Drinker,train
55,Non-binary,Engineering,Canada,Low,8.6,43,1,0.9,Healthy,Occasional Smoker,Social Drinker,train
42,Non-binary,Education,Australia,High,4.3,70,0,5.7,Healthy,Regular Smoker,Non-Drinker,train
43,Non-binary,IT,Canada,High,4.1,32,0,4.9,Average,Regular Smoker,Regular Drinker,train
38,Male,Engineering,India,Medium,6.7,30,10,5.7,Average,Heavy Smoker,Social Drinker,train
57,Male,Other,India,Medium,7.8,32,9,5.7,Healthy,Regular Smoker,Regular Drinker,train
26,Non-binary,Other,Germany,Low,7.6,43,7,4.8,Healthy,Non-Smoker,Non-Drinker,train
49,Non-binary,Education,Australia,High,8.6,65,1,2.6,Average,Heavy Smoker,Heavy Drinker,train
38,Female,Healthcare,Australia,High,4.2,76,6,5.8,Average,Occasional Smoker,Non-Drinker,train
64,Non-binary,Sales,India,Low,9.2,61,6,3.0,Unhealthy,Non-Smoker,Non-Drinker,train
62,Prefer not to say,Sales,Germany,High,4.7,60,5,5.8,Average,Regular Smoker,Regular Drinker,train
48,Prefer not to say,Healthcare,India,High,6.9,59,2,0.6,Average,Regular Smoker,Heavy Drinker,train
42,Female,Education,UK,High,4.2,61,6,4.2,Unhealthy,Regular Smoker,Heavy Drinker,train
61,Non-binary,IT,Canada,High,6.0,50,5,5.1,Average,Heavy Smoker,Heavy Drinker,train
37,Non-binary,Finance,USA,Low,7.5,42,10,1.8,Healthy,Occasional Smoker,Heavy Drinker,train
54,Male,Education,Australia,Medium,7.2,52,2,0.8,Unhealthy,Occasional Smoker,Non-Drinker,train
21,Prefer not to say,IT,Canada,High,7.6,79,2,4.6,Unhealthy,Non-Smoker,Social Drinker,train
61,Male,Engineering,USA,High,5.6,69,2,4.0,Unhealthy,Heavy Smoker,Heavy Drinker,train
53,Male,IT,USA,High,7.8,47,10,4.7,Average,Heavy Smoker,Regular Drinker,train
61,Male,Other,Australia,Low,10.0,57,0,3.4,Healthy,Non-Smoker,Social Drinker,train
21,Male,Education,UK,Low,9.6,52,9,3.1,Average,Non-Smoker,Social Drinker,train
31,Prefer not to say,Education,Canada,High,7.1,70,4,4.0,Average,Occasional Smoker,Regular Drinker,train
18,Female,IT,Germany,High,4.4,80,1,6.0,Healthy,Heavy Smoker,Social Drinker,train
43,Female,IT,UK,Low,9.9,32,9,1.5,Average,Non-Smoker,Regular Drinker,train
37,Female,Finance,Other,High,7.5,60,1,1.2,Unhealthy,Regular Smoker,Social Drinker,train
64,Male,Healthcare,UK,Low,8.5,59,8,4.0,Healthy,Occasional Smoker,Social Drinker,train
42,Male,IT,UK,Low,9.9,37,10,2.0,Average,Non-Smoker,Heavy Drinker,train
38,Male,IT,Canada,High,5.1,62,3,4.6,Average,Occasional Smoker,Regular Drinker,train
26,Prefer not to say,Sales,Germany,Medium,8.0,53,3,1.7,Healthy,Heavy Smoker,Heavy Drinker,train
47,Male,Finance,India,Low,8.5,33,9,3.9,Healthy,Regular Smoker,Heavy Drinker,train
23,Female,Engineering,Other,Low,6.8,59,7,1.1,Average,Occasional Smoker,Non-Drinker,train
57,Female,Sales,Germany,Medium,7.1,53,8,3.6,Healthy,Heavy Smoker,Regular Drinker,train
30,Non-binary,Education,Canada,Medium,6.3,34,3,0.6,Healthy,Heavy Smoker,Heavy Drinker,train
38,Female,Finance,Australia,Low,9.7,34,3,2.5,Average,Non-Smoker,Social Drinker,train
45,Female,Finance,India,Medium,6.5,79,8,2.1,Healthy,Heavy Smoker,Regular Drinker,train
61,Prefer not to say,Other,USA,Medium,9.0,58,7,5.3,Average,Heavy Smoker,Social Drinker,train
34,Non-binary,Education,Canada,High,5.3,75,5,3.7,Average,Heavy Smoker,Non-Drinker,train
49,Non-binary,IT,Australia,High,5.7,74,3,0.5,Healthy,Regular Smoker,Regular Drinker,train
59,Prefer not to say,Finance,UK,High,4.0,66,7,1.7,Unhealthy,Heavy Smoker,Heavy Drinker,train
55,Female,Finance,Other,Medium,9.0,67,0,5.9,Healthy,Occasional Smoker,Non-Drinker,train
23,Prefer not to say,Other,Other,Medium,9.1,70,1,5.4,Average,Non-Smoker,Non-Drinker,train
61,Non-binary,Education,Australia,Medium,6.5,49,10,3.1,Unhealthy,Heavy Smoker,Non-Drinker,train
57,Male,Engineering,USA,Low,9.4,32,7,6.0,Healthy,Regular Smoker,Social Drinker,train
56,Non-binary,Healthcare,USA,High,7.6,69,5,4.6,Unhealthy,Heavy Smoker,Social Drinker,train
57,Non-binary,Finance,UK,Medium,4.0,46,6,1.3,Average,Heavy Smoker,Social Drinker,train
18,Female,IT,Other,High,5.1,51,2,2.4,Average,Occasional Smoker,Regular Drinker,train
25,Prefer not to say,Engineering,Other,High,6.6,45,6,5.1,Average,Heavy Smoker,Regular Drinker,train
30,Female,Other,Australia,Low,7.6,32,7,3.8,Healthy,Non-Smoker,Regular Drinker,train
30,Male,Engineering,India,Low,5.6,56,5,2.7,Healthy,Non-Smoker,Non-Drinker,train
36,Prefer not to say,Other,India,High,7.5,75,5,2.7,Average,Heavy Smoker,Heavy Drinker,train
43,Prefer not to say,IT,Canada,High,6.0,55,1,5.2,Average,Non-Smoker,Heavy Drinker,train
27,Male,IT,India,Low,8.1,34,4,2.9,Unhealthy,Occasional Smoker,Non-Drinker,train
48,Prefer not to say,Other,UK,High,5.3,31,2,4.7,Healthy,Regular Smoker,Heavy Drinker,train
38,Male,Finance,Germany,High,8.2,75,8,5.2,Unhealthy,Regular Smoker,Social Drinker,train
36,Non-binary,Healthcare,Canada,Low,9.4,36,7,1.8,Unhealthy,Heavy Smoker,Non-Drinker,train
60,Prefer not to say,Other,USA,Medium,5.0,73,9,0.8,Average,Regular Smoker,Non-Drinker,train
63,Female,Finance,USA,High,4.9,40,1,4.5,Average,Heavy Smoker,Heavy Drinker,train
42,Female,Finance,UK,Low,6.6,43,10,3.4,Average,Occasional Smoker,Social Drinker,train
41,Prefer not to say,Other,India,Medium,8.5,43,2,5.0,Average,Non-Smoker,Regular Drinker,train
42,Non-binary,Other,Canada,High,4.0,35,2,2.6,Unhealthy,Non-Smoker,Regular Drinker,train
51,Prefer not to say,Healthcare,Canada,High,4.4,45,3,1.3,Unhealthy,Heavy Smoker,Heavy Drinker,train
18,Prefer not to say,IT,India,High,9.0,78,2,4.9,Average,Non-Smoker,Regular Drinker,train
33,Non-binary,Finance,Other,High,7.8,77,2,2.3,Healthy,Regular Smoker,Heavy Drinker,train
24,Non-binary,IT,USA,Low,8.6,61,10,3.1,Healthy,Heavy Smoker,Non-Drinker,train
52,Male,Other,Canada,Low,6.0,33,8,5.6,Healthy,Occasional Smoker,Non-Drinker,train
29,Male,Healthcare,Germany,Medium,7.3,62,9,4.3,Healthy,Regular Smoker,Social Drinker,train
56,Non-binary,Other,Canada,High,7.2,55,3,4.0,Unhealthy,Regular Smoker,Social Drinker,train
26,Male,Other,Germany,High,9.9,77,2,2.4,Healthy,Regular Smoker,Heavy Drinker,train
58,Female,Engineering,India,High,5.0,72,0,5.8,Unhealthy,Occasional Smoker,Non-Drinker,train
60,Prefer not to say,Engineering,Germany,Low,9.2,60,7,2.0,Healthy,Occasional Smoker,Non-Drinker,train
43,Male,Other,Canada,Low,8.2,53,5,0.8,Average,Non-Smoker,Non-Drinker,train
45,Prefer not to say,Other,USA,High,5.7,45,6,3.8,Unhealthy,Heavy Smoker,Social Drinker,train
57,Female,Finance,Germany,Medium,5.0,38,4,3.9,Average,Heavy Smoker,Non-Drinker,train
61,Non-binary,Education,India,High,8.4,51,3,4.4,Average,Occasional Smoker,Regular Drinker,train
47,Non-binary,Other,UK,Low,8.8,39,4,1.3,Healthy,Occasional Smoker,Social Drinker,train
23,Non-binary,IT,Canada,High,9.5,71,6,4.6,Healthy,Heavy Smoker,Regular Drinker,train
53,Male,Education,Australia,Medium,7.6,41,6,5.0,Average,Non-Smoker,Regular Drinker,train
50,Female,IT,Other,Low,7.5,42,9,5.1,Healthy,Non-Smoker,Social Drinker,train
19,Non-binary,Other,India,High,7.8,56,3,4.0,Average,Regular Smoker,Heavy Drinker,train
45,Prefer not to say,Engineering,Australia,High,8.9,77,5,5.1,Unhealthy,Regular Smoker,Heavy Drinker,train
57,Male,IT,India,High,6.2,67,2,5.8,Unhealthy,Non-Smoker,Heavy Drinker,train
30,Non-binary,Engineering,USA,Medium,7.7,51,8,0.6,Average,Regular Smoker,Regular Drinker,train
28,Non-binary,Other,USA,Low,8.3,31,5,5.5,Healthy,Regular Smoker,Non-Drinker,train
50,Non-binary,Education,Australia,High,5.5,52,1,3.7,Average,Regular Smoker,Non-Drinker,train
34,Male,Finance,UK,Low,9.6,57,7,0.8,Healthy,Non-Smoker,Regular Drinker,train
42,Prefer not to say,Education,USA,High,5.6,77,1,2.0,Unhealthy,Occasional Smoker,Non-Drinker,train
55,Male,IT,Canada,High,4.5,33,6,5.9,Average,Regular Smoker,Social Drinker,train
37,Prefer not to say,Finance,Germany,High,5.6,77,5,4.2,Healthy,Occasional Smoker,Heavy Drinker,train
20,Male,Engineering,Canada,Low,9.9,36,8,5.2,Healthy,Regular Smoker,Non-Drinker,train
27,Prefer not to say,IT,Other,Medium,9.6,78,6,4.0,Healthy,Regular Smoker,Social Drinker,train
34,Male,Healthcare,Canada,High,5.2,41,6,3.3,Average,Heavy Smoker,Heavy Drinker,train
56,Female,Healthcare,USA,Low,9.7,46,2,2.0,Healthy,Heavy Smoker,Social Drinker,train
54,Female,Finance,Australia,Low,5.9,31,10,0.6,Average,Regular Smoker,Non-Drinker,train
54,Non-binary,IT,India,High,5.9,45,4,6.0,Unhealthy,Regular Smoker,Social Drinker,train
45,Male,Healthcare,UK,Low,9.3,30,5,0.8,Unhealthy,Heavy Smoker,Non-Drinker,train
21,Male,Education,Germany,Medium,9.9,51,5,1.5,Average,Heavy Smoker,Regular Drinker,train
47,Male,Healthcare,Canada,Low,8.0,36,1,1.1,Healthy,Regular Smoker,Non-Drinker,train
20,Prefer not to say,Healthcare,Other,High,6.1,72,2,2.9,Average,Heavy Smoker,Heavy Drinker,train
43,Male,Sales,Other,Low,9.9,57,8,5.0,Unhealthy,Non-Smoker,Non-Drinker,train
60,Non-binary,Education,Other,Low,9.0,56,10,1.7,Healthy,Regular Smoker,Regular Drinker,train
61,Non-binary,Education,India,Low,6.7,43,6,3.1,Average,Occasional Smoker,Non-Drinker,train
41,Male,Engineering,USA,Low,9.6,35,3,2.0,Average,Non-Smoker,Heavy Drinker,train
42,Non-binary,Education,Other,High,6.6,73,0,5.3,Average,Regular Smoker,Non-Drinker,train
27,Male,Sales,India,High,5.1,65,5,3.9,Unhealthy,Heavy Smoker,Non-Drinker,train
23,Prefer not to say,Healthcare,Other,High,4.2,61,1,3.2,Unhealthy,Occasional Smoker,Non-Drinker,train
35,Prefer not to say,Engineering,Australia,Medium,6.1,46,10,5.0,Unhealthy,Regular Smoker,Non-Drinker,train
62,Prefer not to say,Education,Germany,Low,5.8,50,10,1.7,Healthy,Non-Smoker,Regular Drinker,train
53,Prefer not to say,Healthcare,USA,Medium,7.5,70,7,2.6,Healthy,Heavy Smoker,Social Drinker,train
59,Female,Education,USA,High,5.0,63,3,4.8,Average,Regular Smoker,Social Drinker,train
48,Male,Healthcare,UK,Low,7.5,35,3,1.8,Healthy,Heavy Smoker,Non-Drinker,train
21,Male,Healthcare,India,Medium,7.5,56,8,2.0,Unhealthy,Heavy Smoker,Social Drinker,train
58,Female,Sales,Other,Low,5.7,34,10,2.1,Healthy,Non-Smoker,Social Drinker,train
55,Non-binary,Education,USA,High,5.1,59,4,0.7,Average,Regular Smoker,Heavy Drinker,train
23,Male,Education,Germany,Medium,5.1,69,9,1.1,Healthy,Occasional Smoker,Regular Drinker,train
22,Male,Other,Other,Low,9.7,37,7,2.6,Average,Occasional Smoker,Social Drinker,train
37,Prefer not to say,Finance,UK,Low,7.3,42,10,4.9,Unhealthy,Non-Smoker,Non-Drinker,train
46,Non-binary,Education,USA,High,9.3,63,0,0.7,Unhealthy,Regular Smoker,Heavy Drinker,train
18,Male,Education,Canada,High,5.8,65,5,2.0,Unhealthy,Occasional Smoker,Regular Drinker,train
63,Prefer not to say,Engineering,UK,High,6.6,34,4,5.0,Unhealthy,Regular Smoker,Social Drinker,train
19,Female,Finance,India,High,8.9,50,1,5.0,Average,Heavy Smoker,Regular Drinker,train
47,Prefer not to say,Finance,Canada,High,8.6,47,1,5.9,Unhealthy,Non-Smoker,Heavy Drinker,train
42,Female,Sales,Australia,Low,8.5,55,4,0.8,Unhealthy,Non-Smoker,Social Drinker,train
49,Female,Engineering,Germany,Medium,9.8,68,1,3.5,Average,Occasional Smoker,Non-Drinker,train
56,Female,Education,Australia,High,9.8,60,3,4.8,Unhealthy,Regular Smoker,Heavy Drinker,train
65,Non-binary,Engineering,UK,High,4.0,68,3,3.0,Average,Heavy Smoker,Heavy Drinker,train
49,Non-binary,Other,India,High,6.3,79,3,4.6,Healthy,Regular Smoker,Non-Drinker,train
60,Prefer not to say,Engineering,India,High,6.6,65,4,3.6,Unhealthy,Occasional Smoker,Regular Drinker,train
44,Male,Finance,USA,High,4.4,41,2,5.8,Healthy,Occasional Smoker,Regular Drinker,train
51,Non-binary,Education,USA,High,9.2,55,0,4.5,Unhealthy,Heavy Smoker,Non-Drinker,train
36,Prefer not to say,Healthcare,USA,Low,7.8,41,8,1.6,Average,Non-Smoker,Regular Drinker,train
27,Prefer not to say,IT,USA,Medium,5.0,39,10,5.8,Average,Occasional Smoker,Social Drinker,train
58,Male,Finance,Canada,High,4.9,64,3,5.2,Unhealthy,Non-Smoker,Social Drinker,train
36,Male,Engineering,Germany,Low,7.9,35,7,1.5,Healthy,Occasional Smoker,Regular Drinker,train
21,Female,Other,UK,High,7.3,65,1,5.2,Average,Regular Smoker,Regular Drinker,train
59,Prefer not to say,Healthcare,Canada,Medium,6.7,31,5,2.2,Average,Heavy Smoker,Heavy Drinker,train
31,Male,Healthcare,UK,Medium,7.5,35,2,2.0,Unhealthy,Regular Smoker,Non-Drinker,train
50,Prefer not to say,Other,Canada,Medium,7.4,79,7,4.5,Unhealthy,Non-Smoker,Non-Drinker,train
54,Male,Healthcare,India,High,8.2,65,6,1.3,Unhealthy,Regular Smoker,Regular Drinker,train
19,Non-binary,Education,Canada,High,5.6,77,7,3.0,Unhealthy,Occasional Smoker,Heavy Drinker,train
18,Female,Sales,Other,Low,8.7,58,5,1.9,Average,Non-Smoker,Non-Drinker,train
49,Female,Engineering,USA,High,5.2,68,1,5.1,Healthy,Heavy Smoker,Heavy Drinker,train
56,Male,IT,UK,Medium,8.1,45,0,5.5,Healthy,Occasional Smoker,Regular Drinker,train
20,Female,IT,Germany,High,7.3,61,5,5.9,Unhealthy,Heavy Smoker,Non-Drinker,train
32,Prefer not to say,Sales,Germany,High,4.9,70,2,3.0,Unhealthy,Occasional Smoker,Heavy Drinker,train
55,Non-binary,Education,India,Low,8.8,61,1,1.8,Healthy,Non-Smoker,Social Drinker,train
26,Male,Education,UK,Low,5.1,35,7,2.3,Average,Regular Smoker,Non-Drinker,train
45,Female,Other,Other,Medium,5.3,53,7,1.6,Unhealthy,Regular Smoker,Non-Drinker,train
23,Prefer not to say,Education,Australia,High,6.6,48,0,5.9,Unhealthy,Occasional Smoker,Social Drinker,train
64,Prefer not to say,Education,Australia,Medium,7.1,71,0,1.1,Healthy,Heavy Smoker,Non-Drinker,train
63,Male,Education,Germany,Low,7.9,37,3,1.3,Healthy,Heavy Smoker,Non-Drinker,train
36,Non-binary,Other,UK,Low,6.0,41,1,1.5,Healthy,Occasional Smoker,Non-Drinker,train
24,Prefer not to say,Sales,Canada,High,5.9,58,4,5.8,Unhealthy,Occasional Smoker,Regular Drinker,train
46,Male,Finance,Germany,Medium,6.4,43,4,1.9,Average,Regular Smoker,Regular Drinker,train
62,Non-binary,Finance,India,Low,7.1,38,6,5.8,Average,Non-Smoker,Non-Drinker,train
18,Non-binary,Sales,Canada,High,4.8,62,2,4.2,Average,Regular Smoker,Heavy Drinker,train
56,Female,Healthcare,Australia,Medium,8.7,47,8,5.4,Unhealthy,Heavy Smoker,Non-Drinker,train
19,Prefer not to say,Engineering,Australia,Low,8.2,47,4,0.8,Average,Non-Smoker,Regular Drinker,train
62,Prefer not to say,Education,Germany,Medium,5.0,66,5,1.8,Healthy,Non-Smoker,Regular Drinker,train
34,Male,Engineering,Germany,High,8.6,73,2,4.9,Unhealthy,Regular Smoker,Heavy Drinker,train
65,Prefer not to say,Other,UK,Medium,9.5,51,8,1.9,Unhealthy,Regular Smoker,Heavy Drinker,train
22,Male,Education,India,Low,9.9,55,5,1.4,Healthy,Occasional Smoker,Social Drinker,train
23,Non-binary,Education,USA,High,4.2,71,10,4.6,Unhealthy,Regular Smoker,Social Drinker,train
55,Female,IT,Australia,Medium,7.3,77,8,3.0,Healthy,Heavy Smoker,Social Drinker,train
29,Male,Sales,Germany,Low,9.5,40,7,2.1,Healthy,Occasional Smoker,Non-Drinker,train
45,Prefer not to say,Healthcare,India,Medium,6.9,73,10,2.6,Healthy,Occasional Smoker,Heavy Drinker,train
40,Non-binary,Engineering,UK,Low,5.9,34,8,2.2,Healthy,Heavy Smoker,Non-Drinker,train
31,Female,Healthcare,Canada,High,7.1,73,3,1.3,Unhealthy,Heavy Smoker,Non-Drinker,train
26,Non-binary,Other,Other,Medium,5.2,50,10,2.6,Average,Non-Smoker,Regular Drinker,train
57,Male,Engineering,USA,Medium,9.8,73,7,4.5,Healthy,Occasional Smoker,Regular Drinker,train
54,Male,Other,Canada,Low,8.8,33,7,2.5,Unhealthy,Occasional Smoker,Social Drinker,train
43,Non-binary,Other,Other,Medium,4.4,51,5,4.0,Unhealthy,Non-Smoker,Non-Drinker,train
40,Prefer not to say,IT,Germany,High,7.6,39,3,0.9,Unhealthy,Regular Smoker,Regular Drinker,train
36,Male,IT,USA,Low,8.1,54,7,4.5,Healthy,Heavy Smoker,Non-Drinker,train
34,Female,Other,Germany,High,9.2,66,4,4.8,Unhealthy,Non-Smoker,Heavy Drinker,train
50,Male,Finance,Germany,Medium,9.1,49,4,5.3,Healthy,Occasional Smoker,Heavy Drinker,train
35,Male,Engineering,Australia,High,6.1,56,9,5.4,Unhealthy,Occasional Smoker,Heavy Drinker,train
57,Female,Sales,Other,Low,7.3,69,5,2.2,Healthy,Non-Smoker,Social Drinker,train
20,Female,Engineering,Other,High,4.6,36,2,5.5,Average,Heavy Smoker,Social Drinker,train
44,Female,Other,USA,Medium,8.1,76,8,1.8,Unhealthy,Regular Smoker,Social Drinker,train
58,Non-binary,Healthcare,UK,Low,7.9,39,6,3.1,Healthy,Non-Smoker,Non-Drinker,train
20,Prefer not to say,Finance,Australia,Low,9.7,44,0,1.0,Average,Non-Smoker,Heavy Drinker,train
24,Male,Education,Australia,High,5.3,77,8,0.5,Unhealthy,Occasional Smoker,Regular Drinker,train
59,Female,IT,USA,High,5.0,50,4,5.9,Unhealthy,Occasional Smoker,Non-Drinker,train
46,Female,Healthcare,UK,Low,9.2,40,4,1.0,Healthy,Non-Smoker,Social Drinker,train
65,Female,Other,Australia,Low,9.8,42,9,2.5,Healthy,Regular Smoker,Non-Drinker,train
55,Female,Other,India,Low,9.1,57,4,2.4,Average,Non-Smoker,Non-Drinker,train
63,Male,IT,Germany,Medium,4.4,51,8,1.3,Unhealthy,Heavy Smoker,Non-Drinker,train
35,Prefer not to say,Education,Canada,Medium,5.1,52,8,1.3,Average,Heavy Smoker,Social Drinker,train
43,Male,Healthcare,UK,High,4.6,78,5,5.0,Unhealthy,Occasional Smoker,Non-Drinker,train
55,Prefer not to say,Education,Canada,High,7.2,59,4,5.5,Unhealthy,Heavy Smoker,Regular Drinker,train
25,Male,IT,Other,High,8.5,79,4,3.1,Average,Regular Smoker,Heavy Drinker,train
27,Female,Education,India,Medium,8.8,53,3,1.1,Average,Heavy Smoker,Social Drinker,train
22,Male,Engineering,Australia,Medium,5.6,42,7,4.3,Healthy,Occasional Smoker,Regular Drinker,train
32,Prefer not to say,Finance,Other,High,6.7,57,2,4.3,Unhealthy,Heavy Smoker,Social Drinker,train
30,Non-binary,Healthcare,India,High,8.5,65,7,5.7,Unhealthy,Regular Smoker,Heavy Drinker,train
60,Female,Healthcare,Australia,Medium,8.2,60,0,1.2,Healthy,Regular Smoker,Heavy Drinker,train
61,Male,Sales,USA,High,5.3,72,5,5.9,Average,Occasional Smoker,Non-Drinker,train
28,Female,Finance,Other,Medium,7.0,54,10,4.7,Healthy,Occasional Smoker,Regular Drinker,train
45,Male,Healthcare,UK,High,4.8,35,1,2.8,Healthy,Regular Smoker,Heavy Drinker,train
31,Female,Education,UK,High,4.9,30,6,4.4,Healthy,Regular Smoker,Regular Drinker,train
38,Non-binary,Sales,USA,Medium,6.8,35,1,2.4,Average,Non-Smoker,Regular Drinker,train
59,Male,Engineering,USA,Medium,6.7,34,3,3.6,Unhealthy,Non-Smoker,Social Drinker,train
33,Non-binary,Engineering,Other,High,4.0,52,3,4.6,Healthy,Heavy Smoker,Non-Drinker,train
20,Female,Education,Other,High,4.5,32,1,3.9,Average,Regular Smoker,Social Drinker,train
34,Prefer not to say,Engineering,Canada,High,5.9,37,1,1.4,Unhealthy,Regular Smoker,Social Drinker,train
62,Male,Sales,Germany,High,4.4,77,1,1.7,Unhealthy,Occasional Smoker,Regular Drinker,train
48,Female,IT,USA,High,4.4,65,3,5.1,Average,Non-Smoker,Regular Drinker,train
21,Female,Healthcare,Germany,Low,6.1,50,10,2.6,Average,Occasional Smoker,Non-Drinker,train
29,Prefer not to say,Finance,Other,Low,7.1,35,7,5.7,Average,Non-Smoker,Non-Drinker,train
55,Non-binary,Other,Germany,Medium,8.3,71,2,0.7,Healthy,Occasional Smoker,Heavy Drinker,train
46,Non-binary,Finance,India,High,7.3,73,5,4.0,Unhealthy,Regular Smoker,Regular Drinker,train
24,Female,Education,Australia,High,4.1,39,2,4.5,Healthy,Heavy Smoker,Regular Drinker,train
64,Male,Sales,UK,Low,9.6,72,3,2.5,Healthy,Non-Smoker,Non-Drinker,train
33,Female,Healthcare,USA,High,5.8,46,5,5.2,Unhealthy,Heavy Smoker,Social Drinker,train
58,Non-binary,Healthcare,UK,High,4.3,78,2,3.7,Healthy,Heavy Smoker,Non-Drinker,train
21,Female,Other,Australia,High,4.2,59,1,3.8,Average,Regular Smoker,Social Drinker,train
22,Prefer not to say,Healthcare,UK,High,4.2,32,3,0.7,Unhealthy,Regular Smoker,Heavy Drinker,train
52,Male,IT,Canada,Low,9.2,38,6,1.7,Average,Occasional Smoker,Regular Drinker,train
29,Male,Finance,Canada,Low,8.2,34,1,2.4,Healthy,Heavy Smoker,Non-Drinker,train
37,Prefer not to say,Healthcare,Australia,High,5.6,56,3,4.0,Unhealthy,Heavy Smoker,Non-Drinker,train
57,Prefer not to say,Healthcare,Australia,Low,6.4,61,5,1.9,Healthy,Non-Smoker,Regular Drinker,train
33,Male,Sales,Australia,High,7.2,76,0,5.7,Unhealthy,Occasional Smoker,Social Drinker,train
53,Male,Healthcare,India,Low,6.4,41,6,1.3,Unhealthy,Non-Smoker,Social Drinker,train
